record_id,screenshot_file,captured_at_utc,business_manager_name,business_manager_id,ad_account_name,ad_account_id,campaign_id,campaign_name,ad_set_id,ad_set_name,ad_id,ad_name,rejection_timestamp_local,source_timezone,facebook_decision,facebook_reason_raw,policy_area,policy_reference_url,reason_code_normalized,reason_family,data_stage,is_repeat_reason,repeat_reason_count_at_time,severity,owner,status,notes
R-0001,Screenshot 2026-02-25 at 9.12.37 AM.png,2026-02-25T17:30:00Z,Knowledge Warehouse: Health and Wellness -1,,Knowledge Warehouse: Health and Wellness -1,,,,,,,Creative 5,2026-02-24T10:45:00-08:00,America/Los_Angeles,Rejected,Financial products and services,Discriminatory Practices,https://transparency.fb.com/policies/ad-standards/,DISCRIMINATORY_PRACTICES_FIN_SERVICES,Discriminatory Practices,Creative Review,yes,4,Medium,,Open,Ad ID not visible in screenshot
R-0002,Screenshot 2026-02-25 at 9.12.37 AM.png,2026-02-25T17:30:00Z,Knowledge Warehouse: Health and Wellness -1,,Knowledge Warehouse: Health and Wellness -1,,,,,,,Creative 1,2026-02-24T10:45:00-08:00,America/Los_Angeles,Rejected,Financial products and services,Discriminatory Practices,https://transparency.fb.com/policies/ad-standards/,DISCRIMINATORY_PRACTICES_FIN_SERVICES,Discriminatory Practices,Creative Review,yes,4,Medium,,Open,Ad ID not visible in screenshot
R-0003,Screenshot 2026-02-25 at 9.12.54 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120242032901070709,Ad_2,2026-02-23T14:56:00-08:00,America/Los_Angeles,Rejected,Promotes misleading job offers or opportunities,"Fraud, Scams and Deceptive Practices",https://transparency.fb.com/policies/ad-standards/,MISLEADING_JOB_OPPORTUNITY,"Fraud, Scams and Deceptive Practices",Creative Review,yes,3,High,,Open,
R-0004,Screenshot 2026-02-25 at 9.13.13 AM.png,2026-02-25T17:30:00Z,,,,,,,,,,FPads-US-ES-Female-5,2026-02-22T14:07:00-08:00,America/Los_Angeles,Rejected,Human Exploitation policy violation,Human Exploitation,https://transparency.fb.com/policies/ad-standards/,HUMAN_EXPLOITATION,Sensitive Content,Creative Review,no,1,High,,Open,Ad ID not visible in screenshot
R-0005,Screenshot 2026-02-25 at 9.13.27 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120242032469860709,Ad 1,2026-02-20T18:01:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0006,Screenshot 2026-02-25 at 9.13.40 AM.png,2026-02-25T17:30:00Z,Knowledge Warehouse - PB,,Knowledge Warehouse - PB,,,,,,,Paving - US - ES - Newsca,2026-02-19T10:11:00-08:00,America/Los_Angeles,Rejected,Misleading business practices,Unacceptable Business Practices,https://transparency.fb.com/policies/ad-standards/,MISLEADING_BUSINESS_PRACTICES,Unacceptable Business Practices,Creative Review,yes,2,Medium,,Open,Ad ID not visible in screenshot
R-0007,Screenshot 2026-02-25 at 9.13.40 AM.png,2026-02-25T17:30:00Z,Knowledge Warehouse - PB,,Knowledge Warehouse - PB,,,,,,,Paving - US - ES - Newsca,2026-02-19T10:11:00-08:00,America/Los_Angeles,Rejected,Misleading business practices,Unacceptable Business Practices,https://transparency.fb.com/policies/ad-standards/,MISLEADING_BUSINESS_PRACTICES,Unacceptable Business Practices,Creative Review,yes,2,Medium,,Open,Ad ID not visible in screenshot
R-0008,Screenshot 2026-02-25 at 9.13.54 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120238106986470485,FPads4,2026-02-19T09:46:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0009,Screenshot 2026-02-25 at 9.14.05 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120238355786110125,TruckLunch-1,2026-02-18T18:22:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0010,Screenshot 2026-02-25 at 9.14.23 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120238475314380485,FPads-1,2026-02-17T12:06:00-08:00,America/Los_Angeles,Rejected,Promotes misleading job offers or opportunities,"Fraud, Scams and Deceptive Practices",https://transparency.fb.com/policies/ad-standards/,MISLEADING_JOB_OPPORTUNITY,"Fraud, Scams and Deceptive Practices",Creative Review,yes,3,High,,Open,
R-0011,Screenshot 2026-02-25 at 9.14.35 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120238477105790485,FPads-1,2026-02-16T16:54:00-08:00,America/Los_Angeles,Rejected,Promotes financial products and services (discriminatory practices),Discriminatory Practices,https://transparency.fb.com/policies/ad-standards/,DISCRIMINATORY_PRACTICES_FIN_SERVICES,Discriminatory Practices,Creative Review,yes,4,Medium,,Open,
R-0012,Screenshot 2026-02-25 at 9.14.47 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120238626486040622,Leftover 2025 Nissan SUVs Leave Dealerships In A Pickle (see what's left),2026-02-15T13:58:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0013,Screenshot 2026-02-25 at 9.14.57 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120241358754590439,Ad-4,2026-02-14T14:44:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0014,Screenshot 2026-02-25 at 9.15.09 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120238393223660125,FPads-AH-10,2026-02-12T09:44:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0015,Screenshot 2026-02-25 at 9.15.24 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120241574192010709,Ad_2,2026-02-11T12:50:00-08:00,America/Los_Angeles,Rejected,Promotes misleading job offers or opportunities,"Fraud, Scams and Deceptive Practices",https://transparency.fb.com/policies/ad-standards/,MISLEADING_JOB_OPPORTUNITY,"Fraud, Scams and Deceptive Practices",Creative Review,yes,3,High,,Open,
R-0016,Screenshot 2026-02-25 at 9.15.36 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120241046623020742,"Men aged 21-75, struggling with low libido?...",2026-02-10T07:13:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0017,Screenshot 2026-02-25 at 9.15.45 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120237686916150485,FemaleAvatarDriving-4,2026-02-09T10:03:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0018,Screenshot 2026-02-25 at 9.15.56 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120239123838510214,High Speed Internet Program Approved for 50+,2026-02-08T05:36:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0019,Screenshot 2026-02-25 at 9.16.10 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120234757426840424,Ad 1,2026-02-05T18:47:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0020,Screenshot 2026-02-25 at 9.16.20 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120237551682820485,MaleAvatarDriving-1,2026-02-04T10:54:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0021,Screenshot 2026-02-25 at 9.16.33 AM.png,2026-02-25T17:30:00Z,,,,,,,,,,Leftover 2025 Nissan SUVs Leave Dealerships In A Pickle,2026-02-03T02:07:00-08:00,America/Los_Angeles,Rejected,Does not comply with Advertising Policies (general),General Advertising Policies,https://transparency.fb.com/policies/ad-standards/,POLICY_NONCOMPLIANCE_GENERAL,General Policy Non-Compliance,Creative Review,no,1,Medium,,Open,Ad ID not visible in screenshot
R-0022,Screenshot 2026-02-25 at 9.18.15 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120238373126960647,Creative 8,2026-01-29T16:21:00-08:00,America/Los_Angeles,Rejected,Contains a deceptive link,Spam,https://transparency.fb.com/policies/ad-standards/,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,Creative Review,yes,12,High,,Open,
R-0023,Screenshot 2026-02-25 at 9.18.26 AM.png,2026-02-25T17:30:00Z,,,,,,,,,120238281027350622,Creative 1,2026-01-28T11:10:00-08:00,America/Los_Angeles,Rejected,Promotes financial products and services (discriminatory practices),Discriminatory Practices,https://transparency.fb.com/policies/ad-standards/,DISCRIMINATORY_PRACTICES_FIN_SERVICES,Discriminatory Practices,Creative Review,yes,4,Medium,,Open,
